Area (km2);Width (km);Attached/Fan-type;Fans;Plot-types;Equation;;;;
;0.34;1;;;;;;;
;0.17;1;;;;;;;
;0.33;1;;;;;;;
;0.35;1;;;;;;;
;0.27;1;;;;;;;
;0.39;1;;;;;;;
;0.18;1;;;;;;;
;0.41;1;;;;;;;
;0.23;1;;;;;;;
;0.04;1;;;;;;;
;0.21;1;;;;;;;
;0.15;1;;;;;;;
;0.15;1;;;;;;;
;0.06;1;;;;;;;
;0.26;1;;;;;;;
;0.16;1;;;;;;;
;0.33;1;;;;;;;
;0.25;1;;;;;;;
;0.10;1;;;;;;;
;0.20;1;;;;;;;
;0.17;1;;;;;;;
;0.68;1;;;;;;;
;0.52;1;;;;;;;
;0.29;1;;;;;;;
;0.18;1;;;;;;;
;0.12;1;;;;;;;
;0.40;1;;;;;;;
;0.22;1;;;;;;;
;0.25;1;;;;;;;
;0.88;1;;;;;;;
;0.51;1;;;;;;;
;1.15;1;;;;;;;
;0.33;1;;;;;;;
;1.23;1;;;;;;;
;1.48;1;;;;;;;
;0.41;1;;;;;;;
;0.90;1;;;;;;;
;1.42;1;;;;;;;
;1.51;1;;;;;;;
;0.64;1;;;;;;;
;0.07;1;;;;;;;
;0.12;1;;;;;;;
;0.07;1;;;;;;;
;0.12;1;;;;;;;
;0.10;1;;;;;;;
;0.07;1;;;;;;;
;0.12;1;;;;;;;
;0.08;1;;;;;;;
;0.06;1;;;;;;;
;0.13;1;;;;;;;
;0.10;1;;;;;;;
;0.05;1;;;;;;;
;0.11;1;;;;;;;
;0.07;1;;;;;;;
;0.10;1;;;;;;;
;0.07;1;;;;;;;
;0.06;1;;;;;;;
;0.21;1;;;;;;;
;0.12;1;;;;;;;
;0.05;1;;;;;;;
;0.11;1;;;;;;;
;0.13;1;;;;;;;
;0.12;1;;;;;;;
;0.12;1;;;;;;;
;0.14;1;;;;;;;
;0.06;1;;;;;;;
;0.13;1;;;;;;;
;0.08;1;;;;;;;
;0.06;1;;;;;;;
;0.09;1;;;;;;;
;0.08;1;;;;;;;
;0.08;1;;;;;;;
;0.10;1;;;;;;;
;0.05;1;;;;;;;
;0.11;1;;;;;;;
;0.09;1;;;;;;;
;0.09;1;;;;;;;
;0.06;1;;;;;;;
;0.04;1;;;;;;;
;0.12;1;;;;;;;
;0.13;1;;;;;;;
;0.06;1;;;;;;;
;0.07;1;;;;;;;
;0.10;1;;;;;;;
;0.10;1;;;;;;;
;0.08;1;;;;;;;
;0.12;1;;;;;;;
;0.08;1;;;;;;;
;0.08;1;;;;;;;
;0.07;1;;;;;;;
;0.19;1;;;;;;;
;0.15;1;;;;;;;
;0.10;1;;;;;;;
;0.10;1;;;;;;;
;0.13;1;;;;;;;
;0.20;1;;;;;;;
;0.17;1;;;;;;;
;0.10;1;;;;;;;
;0.68;1;;;;;;;
;0.14;1;;;;;;;
;0.50;1;;;;;;;
