Width (km);Thickness (max m);Attached;Fan;Architectural type;Equation;;;;
0.06;0.55;1;;;;;;;
0.15;0.80;1;;;;;;;
0.15;0.80;1;;;;;;;
0.11;0.40;1;;;;;;;
0.28;1.30;1;;;;;;;
0.10;0.60;1;;;;;;;
0.12;0.50;1;;;;;;;
0.13;0.80;1;;;;;;;
0.26;1.30;1;;;;;;;
0.20;1.10;1;;;;;;;
0.14;0.60;1;;;;;;;
0.09;1.30;1;;;;;;;
0.27;1.30;1;;;;;;;
0.54;1.30;1;;;;;;;
0.36;0.90;1;;;;;;;
0.22;1.10;1;;;;;;;
0.12;0.90;1;;;;;;;
0.16;0.60;1;;;;;;;
0.11;0.50;1;;;;;;;
0.64;1.20;1;;;;;;;
0.33;1.20;1;;;;;;;
0.04;0.20;1;;;;;;;
0.49;0.80;1;;;;;;;
0.18;0.60;1;;;;;;;
0.13;0.50;1;;;;;;;
0.70;1.50;1;;;;;;;
0.20;0.80;1;;;;;;;
0.14;0.70;1;;;;;;;
0.31;2.50;1;;;;;;;
0.68;2.20;1;;;;;;;
0.38;3.75;1;;;;;;;
0.65;4.15;1;;;;;;;
0.76;4.00;1;;;;;;;
0.46;2.20;1;;;;;;;
0.21;1.90;1;;;;;;;
0.31;2.10;1;;;;;;;
0.61;2.80;1;;;;;;;
0.40;2.00;1;;;;;;;
0.10;1.80;1;;;;;;;
0.25;3.30;1;;;;;;;
0.25;1.40;1;;;;;;;
0.42;3.00;1;;;;;;;
0.33;4.90;1;;;;;;;
0.31;2.30;1;;;;;;;
0.46;2.20;1;;;;;;;
0.18;2.30;1;;;;;;;
0.39;2.80;1;;;;;;;
1.10;3.30;1;;;;;;;
0.23;3.50;1;;;;;;;
0.65;4.00;1;;;;;;;
0.39;1.50;1;;;;;;;
0.19;2.70;1;;;;;;;
0.30;0.80;1;;;;;;;
0.61;0.80;1;;;;;;;
0.27;3.50;1;;;;;;;
0.14;1.90;1;;;;;;;
0.29;2.30;1;;;;;;;
0.39;2.80;1;;;;;;;
0.46;4.20;1;;;;;;;
0.23;3.50;1;;;;;;;
1.10;3.30;1;;;;;;;
0.71;4.30;1;;;;;;;
0.65;7.70;1;;;;;;;
0.28;3.30;1;;;;;;;
0.25;3.60;1;;;;;;;
0.13;2.10;1;;;;;;;
0.10;2.30;1;;;;;;;
0.35;3.20;1;;;;;;;
0.15;4.00;1;;;;;;;
0.35;1.50;1;;;;;;;
0.46;3.50;1;;;;;;;
0.27;1.60;1;;;;;;;
0.90;3.50;1;;;;;;;
0.50;1.40;1;;;;;;;
0.05;2.40;1;;;;;;;
0.85;8.10;1;;;;;;;
0.67;8.40;1;;;;;;;
0.63;4.10;1;;;;;;;
0.28;6.40;1;;;;;;;
0.13;2.10;1;;;;;;;
0.78;4.70;1;;;;;;;
0.63;4.10;1;;;;;;;
0.22;4.80;1;;;;;;;
0.27;5.80;1;;;;;;;
0.67;8.40;1;;;;;;;
0.46;3.50;1;;;;;;;
0.15;4.00;1;;;;;;;
0.39;4.70;1;;;;;;;
0.85;11.70;1;;;;;;;
0.53;3.90;1;;;;;;;
0.06;1.80;1;;;;;;;
0.07;1.50;1;;;;;;;
0.14;1.20;1;;;;;;;
0.27;1.30;1;;;;;;;
0.18;1.30;1;;;;;;;
0.19;1.30;1;;;;;;;
0.17;0.77;1;;;;;;;
0.15;1.60;1;;;;;;;
0.41;0.91;1;;;;;;;
0.37;0.85;1;;;;;;;
0.54;1.10;1;;;;;;;
0.05;0.45;1;;;;;;;
0.04;0.83;1;;;;;;;
0.13;1.30;1;;;;;;;
0.17;1.40;1;;;;;;;
0.07;0.84;1;;;;;;;
0.11;1.80;1;;;;;;;
0.25;0.88;1;;;;;;;
0.23;0.72;1;;;;;;;
0.49;1.98;1;;;;;;;
0.55;2.40;1;;;;;;;
0.63;2.20;1;;;;;;;
0.47;1.90;1;;;;;;;
0.12;0.78;1;;;;;;;
0.08;1.10;1;;;;;;;
0.11;1.30;1;;;;;;;
0.18;1.50;1;;;;;;;
0.10;1.30;1;;;;;;;
0.10;1.30;1;;;;;;;
0.09;1.30;1;;;;;;;
0.24;1.40;1;;;;;;;
0.07;0.98;1;;;;;;;
0.20;1.10;1;;;;;;;
0.08;0.80;1;;;;;;;
0.36;3.20;1;;;;;;;
0.14;1.30;1;;;;;;;
0.34;1.40;1;;;;;;;
